id;name;detail;recognizer_name;supported_lang;pattern_name;regex;score;context;deny_list;supported_entity;creation_date;last_updated
1;Oregon;Programmable Planner;contextually-based Soap;Shoes attitude dedicated;Soft firewall Circle;connect feed;8127;Pants Unbranded;Fantastic well-modulated;Incredible;2021-07-29T07:07:33;2021-07-28T13:56:42
2;drive;Alabama Small Agent;withdrawal quantifying;Incredible Baby withdrawal;viral;enterprise Buckinghamshire RAM;23972;Beauty Savings;overriding Garden Market;facilitate Island intuitive;2021-07-28T22:43:01;2021-07-28T15:41:25
3;Rubber models Fresh;calculating Usability Cotton;Computer Music Profound;Awesome;User-centric bleeding-edge Assistant;Saint dynamic challenge;66165;administration;payment deposit;Ngultrum;2021-07-29T00:59:17;2021-07-29T06:20:48
4;services Investor Bedfordshire;Buckinghamshire connecting Web;Islands Incredible;Human;programming open-source;multimedia indigo Garden;98906;out-of-the-box Dinar;cross-platform Global Account;bluetooth Botswana Canada;2021-07-29T02:01:46;2021-07-28T19:28:51
5;Guilder Dollar;XSS;AGP Automotive Mouse;Specialist Product AGP;blue Keyboard;conglomeration;19233;Customizable Western override;generating;synergize alarm;2021-07-28T17:34:16;2021-07-28T11:10:12
6;Auto;Books Florida Guarani;Light;Account one-to-one;generate Hawaii;Soft Small Market;66207;Supervisor lime Rapids;invoice matrix North;Pound;2021-07-29T01:23:30;2021-07-29T04:03:57
7;Devolved Books;intermediate Markets program;Trafficway HTTP Chair;optical USB;Books;up;25959;Regional maroon;Card GB Minnesota;model Refined overriding;2021-07-29T02:41:47;2021-07-29T04:27:19
8;Steel Cliffs plug-and-play;Response;Facilitator;white embrace;Berkshire Consultant Massachusetts;deposit Concrete;20819;Lebanon Bedfordshire;gold;sexy generation Drives;2021-07-28T20:26:19;2021-07-29T07:20:00
9;Virtual Sausages drive;copy Soft;Toys invoice Soft;Computers invoice schemas;Group Quality;Bhutanese applications Congolese;69561;orange;Idaho;Sausages;2021-07-28T11:18:25;2021-07-28T19:00:21
10;bleeding-edge Isle User-centric;microchip;magenta Junction;solid;copying;Bedfordshire application users;43880;project Cotton;Wooden state;Costa;2021-07-28T15:20:38;2021-07-28T20:39:16
